Description,Title,Image,Discount,Original Price,Discounted Price
Men Solid Polo Neck Cotton Blend Black T-Shirt,Allen Solly,https://rukminim2.flixcart.com/image/612/612/l4vnbm80/t-shirt/i/j/q/m-askporgfj72665-new-allen-solly-original-imagfzk8vjxgurcj.jpeg?q=70,33% off,"₹1,099",₹736
Men Slim Fit Checkered Cut Away Collar Casual Shirt,HIGHLANDER,https://rukminim2.flixcart.com/image/612/612/xif0q/shirt/c/2/5/xl-hlsh014179-highlander-original-imaghmqbryfqm2ez.jpeg?q=70,68% off,"₹2,049",₹642
Men Printed Crew Neck Cotton Blend White T-Shirt,PUMA,https://rukminim2.flixcart.com/image/612/612/xif0q/t-shirt/y/v/s/xxs-68709202-puma-original-imah64sw2ysmczhh.jpeg?q=70,63% off,"₹1,499",₹549
Men Striped Polo Neck Pure Cotton White T-Shirt,U.S. POLO ASSN.,https://rukminim2.flixcart.com/image/612/612/xif0q/t-shirt/g/h/h/-original-imah2p8h6tzgczze.jpeg?q=70,45% off,"₹1,899","₹1,044"
Men Solid Polo Neck Cotton Blend Purple T-Shirt,Allen Solly,https://rukminim2.flixcart.com/image/612/612/xif0q/t-shirt/5/m/k/-original-imagzjxraj8hmzte.jpeg?q=70,38% off,"₹1,099",₹681
"Oversized Men Printed, Typography Round Neck Pure Cotto...",Veirdo,https://rukminim2.flixcart.com/image/612/612/xif0q/t-shirt/j/p/v/l-os-100-vdorgnl-nvy-veirdo-original-imah256cvtzjwn5r.jpeg?q=70,70% off,"₹1,199",₹349
"Oversized Men Printed, Typography Round Neck Pure Cotto...",Veirdo,https://rukminim2.flixcart.com/image/612/612/xif0q/t-shirt/c/i/g/s-os-100-vdorgnl-grn117-veirdo-original-imah4fy3zb5paeaj.jpeg?q=70,70% off,"₹1,199",₹349
Men Regular Fit Striped Button Down Collar Casual Shirt,THE BEAR HOUSE,https://rukminim2.flixcart.com/image/612/612/xif0q/shirt/o/c/r/s-tbh-wydal-wh-the-bear-house-original-imagqp8sh9fphtya.jpeg?q=70,69% off,"₹2,495",₹750
Men Solid Polo Neck Pure Cotton Black T-Shirt,Allen Solly,https://rukminim2.flixcart.com/image/612/612/xif0q/t-shirt/8/e/y/-original-imah25hz6zhbmkcu.jpeg?q=70,33% off,"₹1,049",₹702
Men Solid Round Neck Polyester Black T-Shirt,ADIDAS,https://rukminim2.flixcart.com/image/612/612/xif0q/t-shirt/n/l/j/m-jn3551-adidas-original-imah4qtvfsg7hh2y.jpeg?q=70,41% off,"₹1,499",₹882
Men Slim Fit Solid Spread Collar Casual Shirt,Dennis Lingo,https://rukminim2.flixcart.com/image/612/612/xif0q/shirt/f/g/n/4xl-c301-black-dennis-lingo-original-imah47rhturywh7v.jpeg?q=70,73% off,"₹1,849",₹499
Solid Men Polo Neck Poly Cotton Black T-Shirt,METRONAUT By Flipkart,https://rukminim2.flixcart.com/image/612/612/xif0q/shopsy-t-shirt/f/m/b/xl-polo-tshirt-2-combo-leemak-original-imah3yw5khygszxt.jpeg?q=70,85% off,"₹1,999",₹299
Men Slim Fit Solid Spread Collar Casual Shirt,Dennis Lingo,https://rukminim2.flixcart.com/image/612/612/xif0q/shirt/o/z/v/4xl-c301-white-dennis-lingo-original-imah4aav5rfdznra.jpeg?q=70,70% off,"₹1,849",₹549
Men Regular Fit Solid Spread Collar Casual Shirt,METRONAUT,https://rukminim2.flixcart.com/image/612/612/xif0q/shirt/m/q/r/xl-formal-shirt-metronaut-original-imah3g7mqnjcfytf.jpeg?q=70,85% off,"₹1,999",₹299
Men Slim Fit Checkered Button Down Collar Casual Shirt,THE BEAR HOUSE,https://rukminim2.flixcart.com/image/612/612/xif0q/shirt/v/v/o/3xl-tbh-kamet-gy-the-bear-house-original-imagr827j3khzzab.jpeg?q=70,69% off,"₹2,495",₹750
Men Regular Fit Solid Spread Collar Casual Shirt,METRONAUT,https://rukminim2.flixcart.com/image/612/612/xif0q/shirt/m/q/2/xxl-formal-shirt-metronaut-original-imah2e3fhfpbd8fb.jpeg?q=70,85% off,"₹1,999",₹299
Men Regular Fit Solid Spread Collar Casual Shirt,METRONAUT,https://rukminim2.flixcart.com/image/612/612/xif0q/shirt/f/v/a/3xl-formal-shirt-metronaut-original-imah233qzyc5yzbv.jpeg?q=70,85% off,"₹1,999",₹299
