Product_Description,Product_Image,Discounted_Price,Product_Rating
"DELL Refurbished Dell Latitude E5470 14-Inch Laptop (Intel Core-i5-6300U Upto 3.0 GHz, 8GB RAM 256GB ROM",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/0597563/1.jpg?5767,"₦ 262,000",1
Hp EliteBook 840 G5 TOUCHSCREEN Core I5-8GB RAM/256GB SSD/Backlit Keyboard/FP Reader WIN 11 Pro+BAG,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/39/8514062/1.jpg?2207,"₦ 520,000",1
"Hp PROBOOK 450G6 8TH GEN INTEL CORE I5 8GB RAM 256GB SSD,KEYBOARD LITE, WINDOWS 11PRO",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/91/3890261/1.jpg?6992,"₦ 760,000",1
Hp EliteBook 840 G6 Intel Core I5 Touchscreen 16GB RAM/1TB SSD/Backlit Keyboard/FP Win 11 Pro,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/77/8397592/1.jpg?7366,"₦ 650,700",1
Hp EliteBook 840 G5 TOUCHSCREEN Core I7-16GB RAM/1TB SSD/Backlit Keyboard/FP Reader WIN 11 Pro+BAG,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/32/7614062/1.jpg?2251,"₦ 755,000",1
Hp Stream 11 Pro- Intel Celeron - 4GB RAM - 64GB SSD Windows 10 Pro+ Mouse & USB LIGHT FOR Keyboard,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/16/637679/1.jpg?1103,"₦ 180,000",1
"DELL Latitude 3420-14"" FHD-11th Gen Intel Core I7-1165G7 Quad-Core-8GB RAM-256GB SSD-Black",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/1246412/1.jpg?6480,"₦ 1,185,000",0
"DELL Latitude 3420-14"" FHD-11th Gen Intel Core I5-1135G7 Quad-Core-16GB RAM-256GB SSD-Black",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/20/1363651/1.jpg?8288,"₦ 958,000",0
Hp ProBook 11 X360- Intel Pentium 256GB SSD-TOUCHSCREEN 8GB RAM Windows10 Pro + Laptop Pouch,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/83/332137/1.jpg?8383,"₦ 290,000",1
"DELL Latitude 3420-14"" FHD-11th Gen Intel Core I5-1135G7 Quad-Core-16GB RAM-512GB SSD-Win 10 Pro",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/87/6363651/1.jpg?0570,"₦ 1,148,000",1
DELL Latitude 7490 TOUCHSCREEN Intel Core I7- 1TB SSD/16GB RAM BACKLIGHT KEYBOARD/WIN 11PRO+BAG,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/15/4154262/1.jpg?4276,"₦ 790,000",1
Hp ProBook 11 X360- TOUCH- 256GB SSD/4GB RAM +Mouse &USB Light,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/38/293032/1.jpg?7046,"₦ 415,000",1
"DELL Latitude 3310 Intel®️ Core™️ I5-Quad Core 256GB SSD 16GB RAM 13.3""WIN10 Pro",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/69/730597/1.jpg?6761,"₦ 880,000",1
"Hp EliteBook 840 G8  - Core I5-1135G7- 14"" - 512GB SSD-16B RAM",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/37/3223053/1.jpg?5345,"₦ 900,000",0
Hp PRO ONE 400 G4 COREI5 8GB RAM,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/49/2274642/1.jpg?3533,"₦ 720,000",0
Hp CHROMEBOOK 11 INTEL CELERON 4Gb RAM 16GB WINS 10,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/23/7778193/1.jpg?2015,"₦ 155,000",1
