Name,Address,Opening Hours,Website,Phone,Ratings,Review Date,Review,Geo-Location
Randolph Beer,"82 Prospect St, Brooklyn, NY 11201, United States",Saturday11 am–1 am | Sunday11 am–8 pm | MondayClosed | Tuesday12–11 pm | Wednesday12–11 pm | Thursday12 pm–12 am | Friday12 pm–1 am,http://www.randolphbeer.com/,+1 347-280-3071,4.3,a month ago,Delicious high quality takeout. This was my first time ordering from Randolph Beer and it won’t be my last. The food arrived fresh and tasted great. I look forward to trying more of their menu. …,"40.7005446, -73.9874945"
Lagos TSQ,"727 7th Ave, New York, NY 10019, United States",Saturday12 pm–2 am | Sunday12 pm–2 am | Monday12 pm–2 am | Tuesday12 pm–2 am | Wednesday12 pm–2 am | Thursday12 pm–2 am | Friday12 pm–2 am,http://www.lagosnyc.com/menu,+1 212-281-0500,4.2,5 days ago,"Taking the train to Grand Central and walking the four blocks might be your best bet for getting here smoothly. Once you arrive at Lagos, you're greeted with a bit of an unusual step—they check your ID and take your photo. While I'm not …","40.7600011, -73.9836749"
Balthazar,"80 Spring St, New York, NY 10012, United States",Saturday9 am–12 am | Sunday9 am–12 am | Monday8 am–12 am | Tuesday8 am–12 am | Wednesday8 am–12 am | Thursday8 am–12 am | Friday8 am–12 am,https://resy.com/cities/new-york-ny/venues/balthazar-nyc?rwg_token=AAiGsobg6s980FSW2KTiE_MtWypIAKbAveEEdZsaAAWt8OHyCI0pitrKgkBv75hPUmzXaqk1wralOrop8nRj_z48Rpw9ZtI1fw%3D%3D,+1 212-965-1414,4.4,2 weeks ago,Popped in for my birthday lunch. Marvelous swanky bustling atmosphere- exquisite old world ambience - very succulent tender escargots in garlic butter- a smart lamb sandwich- my friend had a very tender tasty chicken breast.  Cheers to the …,"40.722668, -73.9982298"
The Modern,"9 W 53rd St, New York, NY 10019, United States",,https://resy.com/cities/new-york-ny/venues/the-modern?rwg_token=AAiGsoYlL1PraPZZXyhe_97M-4PAZus7MFa-8bnTutqds7dcE_81hnAKcOu2p-l7icc2w8Z4zypcC2mcLMZIwqzTls-XJvC5Uw%3D%3D,+1 212-333-1220,4.6,3 days ago,"Went during the summer restaurant week to celebrate the birthday. They are so nice that instead of the restaurant week menu, of the same price, the full menu is offered without any further restrictions. Also instead of sitting at the bar or …","40.761081, -73.976753"
Boucherie Union Square,"225 Park Ave S, New York, NY 10003, United States",,https://www.opentable.com/restaurant/profile/1004143?ref=1068,+1 212-353-0200,4.7,a month ago,"This is very nice place and SURPRISINGLY I love the food.
I’ve tried duck (🦆 canard) and it was very soft, great balance of tastes.
I would definitely recommend that. …","40.7372552, -73.9882246"
Upland,"345 Park Ave S, New York, NY 10010, United States",,https://resy.com/cities/new-york-ny/venues/upland?rwg_token=AAiGsoYOTDRgfMH8iSWLMcHzmqOrWKyEuuZeLqIxgAK_Vp8bNTIIrPzOMFHNX42fxKM1cr6QoHG4si-E2ywEzKMBGwjUzjyE6tZ43mTBZ2c6y-DiJHwU_dI%3D,+1 212-686-1006,4.5,2 months ago,"I visited Upland on a Saturday morning at 10:30 for brunch, having made a reservation in advance. It was much quieter than the lively atmosphere I’ve experienced during dinner here. The host and server were friendly and attentive, and the food was delicious. The cozy decor and large front windows make it a perfect spot for brunch.","40.7419313, -73.984644"
Carmine's - Time Square,"200 W 44th St, New York, NY 10036, United States",Saturday11:30 am–12 am | Sunday11:30 am–11 pm | Monday11:30 am–11 pm | Tuesday11:30 am–11 pm | Wednesday11:30 am–11 pm | Thursday11:30 am–12 am | Friday11:30 am–12 am,https://www.carminesnyc.com/locations/times-square,+1 212-221-3800,4.5,6 days ago,"A Family Feast at Carmine’s Times Square – NYC Perfection!

Carmine’s in Times Square was an absolute standout during our family’s spring …","40.757498, -73.986654"
Manhatta,"28 Liberty St 60th floor, New York, NY 10005, United States",,https://www.manhattarestaurant.com/?utm_source=GoogleBusinessProfile&utm_medium=Menu&utm_campaign=MapLabs,+1 212-230-5788,4.7,a week ago,"I visited a couple of months ago, and it was definitely a surprisingly great dining experience. Every dish was impeccable - texture, taste, everything hit the spot. Also the view is amazing. You can see the Brooklyn bridge if you are seated …","40.7079974, -74.0088826"
Gramercy Tavern,"42 E 20th St, New York, NY 10003, United States",,https://www.gramercytavern.com/tavern-menu/?utm_source=GoogleBusinessProfile&utm_medium=Menu&utm_campaign=MapLabs,+1 212-477-0777,4.6,2 weeks ago,"We dined in the dining room with the seasonal menu. The atmosphere of this restaurant is incredible. Loved the decorations, lighting, and perfect temperature. It’s dinner and a show because watching the perfectly timed execution of courses …","40.7384555, -73.9885064"
Eataly,"101 Liberty St, New York, NY 10007, United States",,http://www.eataly.com/wp/wp-content/uploads/2022/01/Vino_Menu_Food_2022.01.17.pdf,+1 212-897-2895,4.2,a month ago,We had the best experience there! Our server Adriana was very kind and friendly! She suggested some spectacular dishes from the menu and explained each one of them with great passion! We loved the place! Excellent service and food ☺️,"40.7100805, -74.0117621"
Per Se,"10 Columbus Cir, New York, NY 10019, United States",Saturday4:30–8:30 pm | Sunday4:30–8:30 pm | Monday4:30–8:30 pm | Tuesday4:30–8:30 pm | Wednesday4:30–8:30 pm | Thursday4:30–8:30 pm | Friday4:30–8:30 pm,https://www.thomaskeller.com/perseny,+1 212-823-9335,4.5,2 weeks ago,This was our first fine dining experience and all I can say is wow. This restaurant blew us away! …,"40.7682178, -73.9828988"
Boucherie West Village,"99 7th Ave S, New York, NY 10014, United States",Saturday10 am–12 am | Sunday10 am–12 am | Monday11 am–12 am | Tuesday11 am–12 am | Wednesday11 am–12 am | Thursday11 am–12 am | Friday11 am–12 am,https://www.opentable.com/restaurant/profile/346609?ref=1068,+1 212-837-1616,4.7,a month ago,"A little late with this review, but I had brunch here with a very dear friend a couple of weeks ago and the food and service were utterly sublime. My friend had traditional eggs Benedict and I had eggs Norwegian, which is basically eggs …","40.733047, -74.0028772"
